Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Bag/Case material (product.metafields.shopify.bag-case-material),Bag/Case storage features (product.metafields.shopify.bag-case-storage-features),Bakeware items included (product.metafields.shopify.bakeware-items-included),Bakeware pieces included (product.metafields.shopify.bakeware-pieces-included),Cleaning instructions (product.metafields.shopify.cleaning-instructions),Color (product.metafields.shopify.color-pattern),Compatible stove top type (product.metafields.shopify.compatible-stove-top-type),Cookware/Bakeware material (product.metafields.shopify.cookware-bakeware-material),Cookware items included (product.metafields.shopify.cookware-items-included),Dinnerware pieces included (product.metafields.shopify.dinnerware-pieces-included),Drinkware material (product.metafields.shopify.drinkware-material),Drinkware pieces included (product.metafields.shopify.drinkware-pieces-included),Features (product.metafields.shopify.features),Food storage material (product.metafields.shopify.food-storage-material),Hardware material (product.metafields.shopify.hardware-material),Material (product.metafields.shopify.material),Shape (product.metafields.shopify.shape),Tableware material (product.metafields.shopify.tableware-material),Tool/Utensil material (product.metafields.shopify.tool-utensil-material),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Pakistan,Price / Pakistan,Compare At Price / Pakistan,Status
product-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0729/5913/1870/files/WhatsAppImage2025-04-15at8.57.20PM.jpg?v=1745661753,12,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0729/5913/1870/files/WhatsAppImage2025-04-15at8.57.21PM_1.jpg?v=1745661753,13,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0729/5913/1870/files/WhatsAppImage2025-04-15at8.57.21PM.jpg?v=1745661753,14,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0729/5913/1870/files/WhatsAppImage2025-04-15at8.57.22PM.jpg?v=1745661753,15,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wooden-dryfruit-tray-2,Wooden Dryfruit Tray,"",ORCHEEE,Home & Garden > Kitchen & Dining > Tableware > Serveware,"","",false,Title,Default Title,,,,,,,,,0.0,shopify,0,deny,manual,0.00,,true,true,,https://cdn.shopify.com/s/files/1/0729/5913/1870/files/WhatsAppImage2025-04-15at8.57.23PM_1.jpg?v=1745661666,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,,,draft
wooden-dryfruit-tray-1,Wooden Dryfruit Tray,"",ORCHEEE,Home & Garden > Kitchen & Dining > Tableware > Serveware,"","",false,Title,Default Title,,,,,,,,,0.0,shopify,0,deny,manual,0.00,,true,true,,https://cdn.shopify.com/s/files/1/0729/5913/1870/files/WhatsApp_Image_2025-04-15_at_8.57.23_PM_1fa67774-48c1-4428-902d-4aaf6d8a2212.jpg?v=1745661553,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,,,draft
wooden-dryfruit-tray,Wooden Dryfruit Tray,"",ORCHEEE,Home & Garden > Kitchen & Dining > Tableware > Serveware,"","",false,Title,Default Title,,,,,,,,,0.0,shopify,0,deny,manual,0.00,,true,true,,https://cdn.shopify.com/s/files/1/0729/5913/1870/files/WhatsApp_Image_2025-04-15_at_8.57.24_PM_d89557a4-3914-4aba-a995-ea72d1150c1c.jpg?v=1745661584,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,,,draft
wooden-square-dryfruit-tray,Wooden Square Dryfruit Tray,"",ORCHEEE,Home & Garden > Kitchen & Dining > Tableware > Serveware > Serving Trays,"","",false,Title,Default Title,,,,,,,,,0.0,shopify,0,deny,manual,0.00,,true,true,,https://cdn.shopify.com/s/files/1/0729/5913/1870/files/WhatsAppImage2025-04-15at8.57.22PM1.jpg?v=1745661645,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,,,draft
4pcs-bath-set-porcelain-5,4pcs Bath Set Porcelain,"",ORCHEEE,Home & Garden > Bathroom Accessories > Bathroom Accessory Sets,"","",true,Title,Default Title,,,,,,,,,0.0,shopify,0,deny,manual,2000.00,,true,false,,https://cdn.shopify.com/s/files/1/0729/5913/1870/files/WhatsApp_Image_2025-04-18_at_7.42.08_PM.jpg?v=1745652587,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,,,active
4pcs-bath-set-porcelain-4,4pcs Bath Set Porcelain,"",ORCHEEE,Home & Garden > Bathroom Accessories > Bathroom Accessory Sets,"","",true,Title,Default Title,,,,,,,,,0.0,shopify,0,deny,manual,2000.00,,true,true,,https://cdn.shopify.com/s/files/1/0729/5913/1870/files/WhatsApp_Image_2025-04-18_at_7.42.09_PM_1.jpg?v=1745652587,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,,,active
4pcs-bath-set-porcelain-3,4pcs Bath Set Porcelain,"",ORCHEEE,Home & Garden > Bathroom Accessories > Bathroom Accessory Sets,"","",true,Title,Default Title,,,,,,,,,0.0,shopify,0,deny,manual,0.00,,true,true,,https://cdn.shopify.com/s/files/1/0729/5913/1870/files/WhatsApp_Image_2025-04-18_at_7.42.10_PM.jpg?v=1745652587,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,,,active
4pcs-bath-set-porcelain-2,4pcs Bath Set Porcelain,"",ORCHEEE,Home & Garden > Bathroom Accessories > Bathroom Accessory Sets,"","",true,Title,Default Title,,,,,,,,,0.0,shopify,0,deny,manual,2000.00,,true,true,,https://cdn.shopify.com/s/files/1/0729/5913/1870/files/WhatsApp_Image_2025-04-18_at_7.42.09_PM_2.jpg?v=1745652587,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,,,active
4pcs-bath-set-porcelain-1,4pcs Bath Set Porcelain,"",ORCHEEE,Home & Garden > Bathroom Accessories > Bathroom Accessory Sets,"","",true,Title,Default Title,,,,,,,,,0.0,shopify,0,deny,manual,2000.00,,true,true,,https://cdn.shopify.com/s/files/1/0729/5913/1870/files/WhatsApp_Image_2025-04-18_at_7.42.10_PM_1.jpg?v=1745652587,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,,,active
4pcs-bath-set-porcelain,4pcs Bath Set Porcelain,"",ORCHEEE,Home & Garden > Bathroom Accessories > Bathroom Accessory Sets,"","",true,Title,Default Title,,,,,,,,,0.0,shopify,0,deny,manual,2000.00,,true,true,,https://cdn.shopify.com/s/files/1/0729/5913/1870/files/background-editor_output_99f9979b-e39f-4eb5-acea-9d559ad3ce2b.png?v=1745658820,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,,,active
4pcs-bath-set-porcelain,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0729/5913/1870/files/WhatsApp_Image_2025-04-18_at_7.42.09_PM.jpg?v=1745652587,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
black-gold-napkin-holder-copy,Black Gold Napkin Holder,"",ORCHEEE,Home & Garden > Kitchen & Dining > Kitchen Tools & Utensils > Kitchen Organizers > Napkin Holders & Dispensers > Napkin Holders,"","",true,Title,Default Title,,,,,,,,,0.0,shopify,3,deny,manual,1500.00,,true,true,,https://cdn.shopify.com/s/files/1/0729/5913/1870/files/NapkinHolder_2.jpg?v=1745646978,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,,,active
black-gold-napkin-holder,Black Gold Napkin Holder,"",ORCHEEE,Home & Garden > Kitchen & Dining > Kitchen Tools & Utensils > Kitchen Organizers > Napkin Holders & Dispensers > Napkin Holders,"","",true,Title,Default Title,,,,,,,,"",0.0,shopify,3,deny,manual,1500.00,,true,true,"",https://cdn.shopify.com/s/files/1/0729/5913/1870/files/NapkinHolder_3.jpg?v=1745646978,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,,,active
silver-napkin-holder-1,Silver Napkin Holder,"",ORCHEEE,Home & Garden > Kitchen & Dining > Kitchen Tools & Utensils > Kitchen Organizers > Napkin Holders & Dispensers > Napkin Holders,"","",true,Title,Default Title,,,,,,,,"",0.0,shopify,3,deny,manual,1000.00,,true,true,"",https://cdn.shopify.com/s/files/1/0729/5913/1870/files/NapkinHolder_6.jpg?v=1745646978,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,,,active
silver-napkin-holder,Silver Napkin Holder,"",ORCHEEE,Home & Garden > Kitchen & Dining > Kitchen Tools & Utensils > Kitchen Organizers > Napkin Holders & Dispensers > Napkin Holders,"","",true,Title,Default Title,,,,,,,,"",0.0,shopify,3,deny,manual,1000.00,,true,true,"",https://cdn.shopify.com/s/files/1/0729/5913/1870/files/NapkinHolder_4.jpg?v=1745646977,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,,,active
golden-napkin-holder-3,Golden Napkin Holder,"",ORCHEEE,Home & Garden > Kitchen & Dining > Kitchen Tools & Utensils > Kitchen Organizers > Napkin Holders & Dispensers > Napkin Holders,"","",true,Title,Default Title,,,,,,,,"",0.0,shopify,3,deny,manual,1000.00,,true,true,"",https://cdn.shopify.com/s/files/1/0729/5913/1870/files/NapkinHolder_8.jpg?v=1745646978,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,,,active
golden-napkin-holder-2,Golden Napkin Holder,"",ORCHEEE,Home & Garden > Kitchen & Dining > Kitchen Tools & Utensils > Kitchen Organizers > Napkin Holders & Dispensers > Napkin Holders,"","",true,Title,Default Title,,,,,,,,"",0.0,shopify,3,deny,manual,1000.00,,true,true,"",https://cdn.shopify.com/s/files/1/0729/5913/1870/files/NapkinHolder_7.jpg?v=1745646978,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,,,active
golden-napkin-holder-1,Golden Napkin Holder,"",ORCHEEE,Uncategorized,"","",true,Title,Default Title,,,,,,,,"",0.0,shopify,3,deny,manual,1000.00,,true,true,"",https://cdn.shopify.com/s/files/1/0729/5913/1870/files/NapkinHolder_5.jpg?v=1745646978,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,,,active
golden-napkin-holder,Golden Napkin Holder,"",ORCHEEE,Home & Garden > Kitchen & Dining > Kitchen Tools & Utensils > Kitchen Organizers > Napkin Holders & Dispensers > Napkin Holders,"","",true,Title,Default Title,,,,,,,,"",0.0,shopify,3,deny,manual,1000.00,,true,true,"",https://cdn.shopify.com/s/files/1/0729/5913/1870/files/NapkinHolder.jpg?v=1745646978,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,,,active
chicken-shape-egg-basket,Chicken Shape Egg Basket,"",ORCHEEE,Home & Garden > Kitchen & Dining > Tableware > Serveware,"","",false,Title,Default Title,,,,,,,,"",0.0,shopify,0,deny,manual,0.00,,true,true,"",https://cdn.shopify.com/s/files/1/0729/5913/1870/files/EggHolder.jpg?v=1745646977,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,,,draft
black-plate-rack,Black Plate Rack,"",ORCHEEE,Home & Garden > Kitchen & Dining > Kitchen Tools & Utensils > Dish Racks & Drain Boards > Dish Racks,"","",false,Title,Default Title,,,,,,,,"",0.0,shopify,0,deny,manual,0.00,,true,true,"",https://cdn.shopify.com/s/files/1/0729/5913/1870/files/PlateRack_4.jpg?v=1745646977,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,,,draft
black-round-basket-1,Black Round Basket,"",ORCHEEE,Uncategorized,"","",false,Title,Default Title,,,,,,,,"",0.0,shopify,0,deny,manual,0.00,,true,true,"",https://cdn.shopify.com/s/files/1/0729/5913/1870/files/Basket_16.jpg?v=1745646978,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,,,draft
black-round-basket,Black Round Basket,"",ORCHEEE,Home & Garden > Decor > Baskets,"","",false,Title,Default Title,,,,,,,,"",0.0,shopify,0,deny,manual,0.00,,true,true,"",https://cdn.shopify.com/s/files/1/0729/5913/1870/files/Basket_17.jpg?v=1745646978,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,,,draft
golden-3-tier-round-basket,Golden 3 Tier Round Basket,"",ORCHEEE,Uncategorized,"","",false,Title,Default Title,,,,,,,,"",0.0,shopify,0,deny,manual,0.00,,true,true,"",https://cdn.shopify.com/s/files/1/0729/5913/1870/files/Basket_15.jpg?v=1745646978,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,,,draft
black-2-tier-round-basket,Black 2 Tier Round Basket,"",ORCHEEE,Home & Garden > Decor > Baskets,"","",true,Title,Default Title,,,,,,,,"",0.0,shopify,3,deny,manual,2500.00,,true,true,"",https://cdn.shopify.com/s/files/1/0729/5913/1870/files/Basket_13.jpg?v=1745646978,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,,,active
white-2-tier-rectangular-basket,White 2 Tier Rectangular Basket,"",ORCHEEE,Home & Garden > Decor > Baskets,"","",true,Title,Default Title,,,,,,,,"",0.0,shopify,3,deny,manual,2800.00,,true,true,"",https://cdn.shopify.com/s/files/1/0729/5913/1870/files/Basket_14.jpg?v=1745646978,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,,,active
black-2-tier-rectangular-basket,Black 2 Tier Rectangular Basket,"",ORCHEEE,Home & Garden > Decor > Baskets,"","",true,Title,Default Title,,,,,,,,"",0.0,shopify,3,deny,manual,2800.00,,true,true,"",https://cdn.shopify.com/s/files/1/0729/5913/1870/files/Basket_12.jpg?v=1745646977,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,,,active
black-3-tier-rectangular-basket,Black 3 Tier Rectangular Basket,"",ORCHEEE,Home & Garden > Decor > Baskets,"","",true,Title,Default Title,,,,,,,,"",0.0,shopify,3,deny,manual,3200.00,,true,true,"",https://cdn.shopify.com/s/files/1/0729/5913/1870/files/Basket_11.jpg?v=1745646977,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,,,active
golden-3tier-rectangular-basket,Golden 3Tier Rectangular Basket,"",ORCHEEE,Home & Garden > Decor > Baskets,"","",true,Title,Default Title,,,,,,,,"",0.0,shopify,3,deny,manual,3500.00,,true,true,"",https://cdn.shopify.com/s/files/1/0729/5913/1870/files/Basket_10.jpg?v=1745646978,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,,,active
golden-round-fruit-basket,Golden Round Fruit Basket,"",ORCHEEE,Home & Garden > Decor > Baskets,"","",true,Title,Default Title,,,,,,,,"",0.0,shopify,3,deny,manual,3000.00,,true,true,"",https://cdn.shopify.com/s/files/1/0729/5913/1870/files/basket_8.jpg?v=1745646978,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,,,active
golden-round-basket,Golden Round Basket,"",ORCHEEE,Home & Garden > Decor > Baskets,"","",true,Title,Default Title,,,,,,,,"",0.0,shopify,3,deny,manual,3000.00,,true,true,"",https://cdn.shopify.com/s/files/1/0729/5913/1870/files/basket_7.jpg?v=1745646978,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,,,active
golden-spoon-holder-with-cover-holder,Golden Spoon Holder with Cover Holder,"",ORCHEEE,Home & Garden > Kitchen & Dining > Kitchen Tools & Utensils > Kitchen Organizers > Kitchen Utensil Holders & Racks > Kitchen Utensil Holders,"","",false,Title,Default Title,,,,,,,,"",0.0,shopify,3,deny,manual,0.00,,true,true,"",https://cdn.shopify.com/s/files/1/0729/5913/1870/files/SpoonHolder_7.jpg?v=1745646978,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,,,draft
aluminum-silver-plate-rack-with-spoon-holder,Aluminum Silver Plate Rack with Spoon Holder,"",ORCHEEE,Home & Garden > Kitchen & Dining > Kitchen Tools & Utensils > Dish Racks & Drain Boards > Dish Racks,"","",true,Title,Default Title,,,,,,,,"",0.0,shopify,3,deny,manual,8500.00,,true,true,"",https://cdn.shopify.com/s/files/1/0729/5913/1870/files/PlateRack_3.jpg?v=1745646978,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,,,active
black-plate-rack-with-spoon-holder,Black Plate Rack with Spoon Holder,"",ORCHEEE,Home & Garden > Kitchen & Dining > Kitchen Tools & Utensils > Dish Racks & Drain Boards > Dish Racks,"","",true,Title,Default Title,,,,,,,,"",0.0,shopify,3,deny,manual,8500.00,,true,true,"",https://cdn.shopify.com/s/files/1/0729/5913/1870/files/PlateRack_2.jpg?v=1745646977,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,,,active
black-2ties-basket-with-banana-fruit-hanger,Black 2Ties Basket With Banana Fruit Hanger,"",ORCHEEE,Animals & Pet Supplies > Pet Supplies > Pet Beds > Baskets,"","",true,Title,Default Title,,,,,,,,"",0.0,shopify,3,deny,manual,4500.00,,true,true,"",https://cdn.shopify.com/s/files/1/0729/5913/1870/files/Basket_9.jpg?v=1745646978,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,,,active
golden-2ties-basket-with-banana-fruit-hanger,Golden 2Ties Basket With Banana Fruit Hanger,"",ORCHEEE,Animals & Pet Supplies > Pet Supplies > Pet Beds > Baskets,"","",true,Title,Default Title,,,,,,,,"",0.0,shopify,3,deny,manual,4800.00,,true,true,"",https://cdn.shopify.com/s/files/1/0729/5913/1870/files/Basket_18.jpg?v=1745646977,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,,,active
golden-wood-mug-stand,Golden Wood Mug Stand,"",ORCHEEE,Home & Garden > Kitchen & Dining > Kitchen Tools & Utensils > Kitchen Organizers > Kitchen Utensil Holders & Racks > Kitchen Utensil Holders,"","",true,Title,Default Title,,,,,,,,"",0.0,shopify,3,deny,manual,3500.00,,true,true,"",https://cdn.shopify.com/s/files/1/0729/5913/1870/files/MugHolder.jpg?v=1745646977,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,,,active
golden-green-glass-stand,Golden Green Glass Stand,"",ORCHEEE,Business & Industrial > Hotel & Hospitality > Hospitality Supplies > Underbar Equipment > Glass Racks,"","",true,Title,Default Title,,,,,,,,"",0.0,shopify,3,deny,manual,2000.00,,true,true,"",https://cdn.shopify.com/s/files/1/0729/5913/1870/files/GlassStand_3.jpg?v=1745646978,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,,,active
golden-gray-glass-stand,Golden Gray Glass Stand,"",ORCHEEE,Business & Industrial > Hotel & Hospitality > Hospitality Supplies > Underbar Equipment > Glass Racks,"","",true,Title,Default Title,,,,,,,,"",0.0,shopify,3,deny,manual,3500.00,,true,true,"",https://cdn.shopify.com/s/files/1/0729/5913/1870/files/GlassStand_2.jpg?v=1745646977,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,,,active
silver-gray-glass-stand,Silver Gray Glass Stand,"",ORCHEEE,Business & Industrial > Hotel & Hospitality > Hospitality Supplies > Underbar Equipment > Glass Racks,"","",true,Title,Default Title,,,,,,,,"",0.0,shopify,3,deny,manual,3500.00,,true,true,"",https://cdn.shopify.com/s/files/1/0729/5913/1870/files/GlassStand.jpg?v=1745646977,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,,,active
black-golden-oval-basket-multiple-use,Black Golden Oval Basket  - Multiple Use,"",ORCHEEE,Animals & Pet Supplies > Pet Supplies > Pet Beds > Baskets,"","",true,Title,Default Title,,,,,,,,"",0.0,shopify,3,deny,manual,2000.00,,true,true,"",https://cdn.shopify.com/s/files/1/0729/5913/1870/files/basket_6.jpg?v=1745646977,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,,,active
black-golden-rectangular-basket-multiple-use,Black Golden Rectangular  Basket  - Multiple Use,"",ORCHEEE,Animals & Pet Supplies > Pet Supplies > Pet Beds > Baskets,"","",true,Title,Default Title,,,,,,,,"",0.0,shopify,3,deny,manual,2000.00,,true,true,"",https://cdn.shopify.com/s/files/1/0729/5913/1870/files/basket_5.jpg?v=1745646977,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,,,active
golden-rectangular-basket-multiple-use,Golden Rectangular Basket  - Multiple Use,"",ORCHEEE,Animals & Pet Supplies > Pet Supplies > Pet Beds > Baskets,"","",true,Title,Default Title,,,,,,,,"",0.0,shopify,3,deny,manual,1500.00,,true,true,"",https://cdn.shopify.com/s/files/1/0729/5913/1870/files/basket_4.jpg?v=1745646977,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,,,active
golden-round-basket-multiple-use,Golden Round Basket  - Multiple Use,"",ORCHEEE,Animals & Pet Supplies > Pet Supplies > Pet Beds > Baskets,"","",true,Title,Default Title,,,,,,,,"",0.0,shopify,3,deny,manual,1500.00,,true,true,"",https://cdn.shopify.com/s/files/1/0729/5913/1870/files/basket_3.jpg?v=1745646977,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,,,active
golden-square-basket-multiple-use,Golden Square Basket  - Multiple Use,"",ORCHEEE,Animals & Pet Supplies > Pet Supplies > Pet Beds > Baskets,"","",true,Title,Default Title,,,,,,,,"",0.0,shopify,3,deny,manual,1500.00,,true,true,"",https://cdn.shopify.com/s/files/1/0729/5913/1870/files/basket_2.jpg?v=1745646977,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,,,active
golden-oval-basket-multiple-use,Golden Oval Basket  - Multiple Use,"",ORCHEEE,Animals & Pet Supplies > Pet Supplies > Pet Beds > Baskets,"","",true,Title,Default Title,,,,,,,,"",0.0,shopify,3,deny,manual,1500.00,,true,true,"",https://cdn.shopify.com/s/files/1/0729/5913/1870/files/basket.jpg?v=1745646977,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,,,active
blackwire-plate-rack-wood-handle-spoon-holder,BlackWire Plate Rack Wood Handle + Spoon Holder,"",ORCHEEE,Home & Garden > Kitchen & Dining > Kitchen Tools & Utensils > Dish Racks & Drain Boards > Dish Racks,"","",true,Title,Default Title,,,,,,,,"",0.0,shopify,3,deny,manual,3500.00,3800.00,true,true,"",https://cdn.shopify.com/s/files/1/0729/5913/1870/files/PlateRack.jpg?v=1745646977,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,,,active
square-spoon-holder-golden-china,Square Spoon Holder Golden China,"",ORCHEEE,Home & Garden > Kitchen & Dining > Kitchen Tools & Utensils > Kitchen Organizers > Kitchen Utensil Holders & Racks,"",Spoon Holder,true,Title,Default Title,,,,,,,,"",0.0,shopify,3,deny,manual,1500.00,,true,true,"",https://cdn.shopify.com/s/files/1/0729/5913/1870/files/SpoonHolder_8.jpg?v=1745646977,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,,,active
round-spoon-holder-golden-china,Round Spoon Holder Golden China,"",ORCHEEE,Home & Garden > Kitchen & Dining > Kitchen Tools & Utensils > Kitchen Organizers > Kitchen Utensil Holders & Racks,"",Spoon Holder,true,Title,Default Title,,,,,,,,"",0.0,shopify,3,deny,manual,1500.00,,true,true,"",https://cdn.shopify.com/s/files/1/0729/5913/1870/files/SpoonHolder_6.jpg?v=1745646977,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,,,active
2x1-round-spoon-holder-golden-china,2x1 Round Spoon Holder Golden China,"",ORCHEEE,Home & Garden > Kitchen & Dining > Kitchen Tools & Utensils > Kitchen Organizers > Kitchen Utensil Holders & Racks,"",Spoon Holder,true,Title,Default Title,,,,,,,,"",0.0,shopify,3,deny,manual,2800.00,,true,true,"",https://cdn.shopify.com/s/files/1/0729/5913/1870/files/SpoonHolder_5.jpg?v=1745646977,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,,,active
2x1-spoon-holder-golden-china,2x1 Spoon Holder Golden China,"",ORCHEEE,Home & Garden > Kitchen & Dining > Kitchen Tools & Utensils > Kitchen Organizers > Kitchen Utensil Holders & Racks,"",Spoon Holder,true,Title,Default Title,,,,,,,,"",0.0,shopify,3,deny,manual,2800.00,,true,true,"",https://cdn.shopify.com/s/files/1/0729/5913/1870/files/SpoonHolder_4.jpg?v=1745646977,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,,,active
2x1-spoon-holder-silver-china,2x1 Spoon Holder Silver China,"",ORCHEEE,Home & Garden > Kitchen & Dining > Kitchen Tools & Utensils > Spoon Rests,"",Spoon Holder,true,Title,Default Title,,,,,,,,"",0.0,shopify,3,deny,manual,2500.00,,true,true,"",https://cdn.shopify.com/s/files/1/0729/5913/1870/files/SpoonHolder_3.jpg?v=1745646977,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,,,active
2x1-spoon-holder-goldenwire-china,2x1 Spoon Holder GoldenWire China,"",ORCHEEE,Uncategorized,"",Spoon Holder,true,Title,Default Title,,,,,,,,"",0.0,shopify,3,deny,manual,3500.00,,true,true,"",https://cdn.shopify.com/s/files/1/0729/5913/1870/files/SpoonHolder_2.jpg?v=1745646977,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,,,active
2xx-spoon-holder-golden-wire-china,2xx Spoon Holder Golden Wire China,"",ORCHEEE,Uncategorized,"",Spoon Holder,true,Title,Default Title,,,,,,,,"",0.0,shopify,3,deny,manual,3500.00,,true,true,"",https://cdn.shopify.com/s/files/1/0729/5913/1870/files/SpoonHolder.jpg?v=1745646977,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,,,active
